"","sample","module_number","module","ID","Term","Ont","N","DE","P.DE","type"
"44","B10_int","1","black","GO:1901550","regulation of endothelial cell development","BP",2,1,0.0120606401507035,"GOTerms"
"45","B10_int","1","black","GO:1903140","regulation of establishment of endothelial barrier","BP",2,1,0.0120606401507035,"GOTerms"
"46","B10_int","1","black","GO:1900452","regulation of long-term synaptic depression","BP",2,1,0.0120606401507035,"GOTerms"
"47","B10_int","1","black","GO:0051930","regulation of sensory perception of pain","BP",2,1,0.0120606401507035,"GOTerms"
"48","B10_int","1","black","GO:0043114","regulation of vascular permeability","BP",2,1,0.0120606401507035,"GOTerms"
"49","B10_int","1","black","GO:0032941","secretion by tissue","BP",2,1,0.0120606401507035,"GOTerms"
"50","B10_int","1","black","GO:0045056","transcytosis","BP",2,1,0.0120606401507035,"GOTerms"
"51","B10_int","1","black","GO:0003008","system process","BP",150,4,0.0129230894968136,"GOTerms"
"52","B10_int","1","black","GO:0006950","response to stress","BP",327,6,0.0141930637065192,"GOTerms"
"53","B10_int","1","black","GO:0006874","cellular calcium ion homeostasis","BP",32,2,0.0159360674755964,"GOTerms"
"54","B10_int","1","black","GO:0055074","calcium ion homeostasis","BP",33,2,0.0168983668108108,"GOTerms"
"55","B10_int","1","black","GO:0042060","wound healing","BP",33,2,0.0168983668108108,"GOTerms"
"56","B10_int","1","black","GO:0048878","chemical homeostasis","BP",90,3,0.0171796282709877,"GOTerms"
"57","B10_int","1","black","GO:0019369","arachidonic acid metabolic process","BP",3,1,0.0180369723499409,"GOTerms"
"58","B10_int","1","black","GO:0061028","establishment of endothelial barrier","BP",3,1,0.0180369723499409,"GOTerms"
"59","B10_int","1","black","GO:0035589","G protein-coupled purinergic nucleotide receptor signaling pathway","BP",3,1,0.0180369723499409,"GOTerms"
"60","B10_int","1","black","GO:0035307","positive regulation of protein dephosphorylation","BP",3,1,0.0180369723499409,"GOTerms"
"61","B10_int","1","black","GO:0035025","positive regulation of Rho protein signal transduction","BP",3,1,0.0180369723499409,"GOTerms"
"62","B10_int","1","black","GO:0051931","regulation of sensory perception","BP",3,1,0.0180369723499409,"GOTerms"
"63","B10_int","1","black","GO:0019233","sensory perception of pain","BP",3,1,0.0180369723499409,"GOTerms"
"64","B10_int","1","black","GO:0007010","cytoskeleton organization","BP",168,4,0.0188327599949317,"GOTerms"
"65","B10_int","1","black","GO:0031347","regulation of defense response","BP",35,2,0.0188952551755602,"GOTerms"
"66","B10_int","1","black","GO:0072503","cellular divalent inorganic cation homeostasis","BP",37,2,0.0209864085647402,"GOTerms"
"67","B10_int","1","black","GO:0006952","defense response","BP",98,3,0.0214930563296012,"GOTerms"
"68","B10_int","1","black","GO:0072507","divalent inorganic cation homeostasis","BP",38,2,0.0220665499918281,"GOTerms"
"69","B10_int","1","black","GO:0065008","regulation of biological quality","BP",363,6,0.022513125931991,"GOTerms"
"70","B10_int","1","black","GO:0007166","cell surface receptor signaling pathway","BP",270,5,0.0237629321090004,"GOTerms"
"71","B10_int","1","black","GO:0010646","regulation of cell communication","BP",270,5,0.0237629321090004,"GOTerms"
"72","B10_int","1","black","GO:0099515","actin filament-based transport","BP",4,1,0.0239775956406761,"GOTerms"
"73","B10_int","1","black","GO:0070830","bicellular tight junction assembly","BP",4,1,0.0239775956406761,"GOTerms"
"74","B10_int","1","black","GO:0001955","blood vessel maturation","BP",4,1,0.0239775956406761,"GOTerms"
"75","B10_int","1","black","GO:0001885","endothelial cell development","BP",4,1,0.0239775956406761,"GOTerms"
"76","B10_int","1","black","GO:0001973","G protein-coupled adenosine receptor signaling pathway","BP",4,1,0.0239775956406761,"GOTerms"
"77","B10_int","1","black","GO:0035588","G protein-coupled purinergic receptor signaling pathway","BP",4,1,0.0239775956406761,"GOTerms"
"78","B10_int","1","black","GO:0042168","heme metabolic process","BP",4,1,0.0239775956406761,"GOTerms"
"79","B10_int","1","black","GO:0008286","insulin receptor signaling pathway","BP",4,1,0.0239775956406761,"GOTerms"
"80","B10_int","1","black","GO:0060292","long-term synaptic depression","BP",4,1,0.0239775956406761,"GOTerms"
"81","B10_int","1","black","GO:0002686","negative regulation of leukocyte migration","BP",4,1,0.0239775956406761,"GOTerms"
"82","B10_int","1","black","GO:0006778","porphyrin-containing compound metabolic process","BP",4,1,0.0239775956406761,"GOTerms"
"83","B10_int","1","black","GO:0045601","regulation of endothelial cell differentiation","BP",4,1,0.0239775956406761,"GOTerms"
"84","B10_int","1","black","GO:2000114","regulation of establishment of cell polarity","BP",4,1,0.0239775956406761,"GOTerms"
"85","B10_int","1","black","GO:0032878","regulation of establishment or maintenance of cell polarity","BP",4,1,0.0239775956406761,"GOTerms"
"86","B10_int","1","black","GO:0046626","regulation of insulin receptor signaling pathway","BP",4,1,0.0239775956406761,"GOTerms"
"87","B10_int","1","black","GO:0031644","regulation of nervous system process","BP",4,1,0.0239775956406761,"GOTerms"
"88","B10_int","1","black","GO:0003073","regulation of systemic arterial blood pressure","BP",4,1,0.0239775956406761,"GOTerms"
"89","B10_int","1","black","GO:0120192","tight junction assembly","BP",4,1,0.0239775956406761,"GOTerms"
"90","B10_int","1","black","GO:0030050","vesicle transport along actin filament","BP",4,1,0.0239775956406761,"GOTerms"
"91","B10_int","1","black","GO:0023051","regulation of signaling","BP",272,5,0.0244360869742419,"GOTerms"
"92","B10_int","1","black","GO:0097435","supramolecular fiber organization","BP",104,3,0.025082406811259,"GOTerms"
"93","B10_int","1","black","GO:0009611","response to wounding","BP",44,2,0.0290120217596669,"GOTerms"
"94","B10_int","1","black","GO:0072577","endothelial cell apoptotic process","BP",5,1,0.029882720734275,"GOTerms"
"95","B10_int","1","black","GO:0046456","icosanoid biosynthetic process","BP",5,1,0.029882720734275,"GOTerms"
"96","B10_int","1","black","GO:2000352","negative regulation of endothelial cell apoptotic process","BP",5,1,0.029882720734275,"GOTerms"
"97","B10_int","1","black","GO:1904036","negative regulation of epithelial cell apoptotic process","BP",5,1,0.029882720734275,"GOTerms"
"98","B10_int","1","black","GO:0031115","negative regulation of microtubule polymerization","BP",5,1,0.029882720734275,"GOTerms"
"99","B10_int","1","black","GO:0035306","positive regulation of dephosphorylation","BP",5,1,0.029882720734275,"GOTerms"
"100","B10_int","1","black","GO:0001516","prostaglandin biosynthetic process","BP",5,1,0.029882720734275,"GOTerms"
"101","B10_int","1","black","GO:0006693","prostaglandin metabolic process","BP",5,1,0.029882720734275,"GOTerms"
"102","B10_int","1","black","GO:0046457","prostanoid biosynthetic process","BP",5,1,0.029882720734275,"GOTerms"
"103","B10_int","1","black","GO:0006692","prostanoid metabolic process","BP",5,1,0.029882720734275,"GOTerms"
"104","B10_int","1","black","GO:2000351","regulation of endothelial cell apoptotic process","BP",5,1,0.029882720734275,"GOTerms"
"105","B10_int","1","black","GO:1904035","regulation of epithelial cell apoptotic process","BP",5,1,0.029882720734275,"GOTerms"
"106","B10_int","1","black","GO:0120193","tight junction organization","BP",5,1,0.029882720734275,"GOTerms"
"107","B10_int","1","black","GO:0003018","vascular process in circulatory system","BP",5,1,0.029882720734275,"GOTerms"
"108","B10_int","1","black","GO:0007600","sensory perception","BP",45,2,0.0302442456222757,"GOTerms"
"109","B10_int","1","black","GO:0006875","cellular metal ion homeostasis","BP",47,2,0.0327700440215964,"GOTerms"
"110","B10_int","1","black","GO:0001676","long-chain fatty acid metabolic process","BP",6,1,0.0357525571143847,"GOTerms"
"111","B10_int","1","black","GO:0031111","negative regulation of microtubule polymerization or depolymerization","BP",6,1,0.0357525571143847,"GOTerms"
"112","B10_int","1","black","GO:0120254","olefinic compound metabolic process","BP",6,1,0.0357525571143847,"GOTerms"
"113","B10_int","1","black","GO:0031113","regulation of microtubule polymerization","BP",6,1,0.0357525571143847,"GOTerms"
"114","B10_int","1","black","GO:0003014","renal system process","BP",6,1,0.0357525571143847,"GOTerms"
"115","B10_int","1","black","GO:0033013","tetrapyrrole metabolic process","BP",6,1,0.0357525571143847,"GOTerms"
"116","B10_int","1","black","GO:0006636","unsaturated fatty acid biosynthetic process","BP",6,1,0.0357525571143847,"GOTerms"
"117","B10_int","1","black","GO:0048583","regulation of response to stimulus","BP",311,5,0.0400823555716906,"GOTerms"
"118","B10_int","1","black","GO:0034332","adherens junction organization","BP",7,1,0.0415873130439928,"GOTerms"
"119","B10_int","1","black","GO:0043297","apical junction assembly","BP",7,1,0.0415873130439928,"GOTerms"
"120","B10_int","1","black","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","BP",7,1,0.0415873130439928,"GOTerms"
"121","B10_int","1","black","GO:0006690","icosanoid metabolic process","BP",7,1,0.0415873130439928,"GOTerms"
"122","B10_int","1","black","GO:0050805","negative regulation of synaptic transmission","BP",7,1,0.0415873130439928,"GOTerms"
"123","B10_int","1","black","GO:0046579","positive regulation of Ras protein signal transduction","BP",7,1,0.0415873130439928,"GOTerms"
"124","B10_int","1","black","GO:0035023","regulation of Rho protein signal transduction","BP",7,1,0.0415873130439928,"GOTerms"
"125","B10_int","1","black","GO:0048585","negative regulation of response to stimulus","BP",127,3,0.0416378442740194,"GOTerms"
"126","B10_int","1","black","GO:0030003","cellular cation homeostasis","BP",55,2,0.0436500224556704,"GOTerms"
"127","B10_int","1","black","GO:0006873","cellular ion homeostasis","BP",55,2,0.0436500224556704,"GOTerms"
"128","B10_int","1","black","GO:1904019","epithelial cell apoptotic process","BP",8,1,0.0473871955724527,"GOTerms"
"129","B10_int","1","black","GO:0046785","microtubule polymerization","BP",8,1,0.0473871955724527,"GOTerms"
"130","B10_int","1","black","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","BP",8,1,0.0473871955724527,"GOTerms"
"131","B10_int","1","black","GO:0030513","positive regulation of BMP signaling pathway","BP",8,1,0.0473871955724527,"GOTerms"
"132","B10_int","1","black","GO:0051057","positive regulation of small GTPase mediated signal transduction","BP",8,1,0.0473871955724527,"GOTerms"
"133","B10_int","1","black","GO:0045214","sarcomere organization","BP",8,1,0.0473871955724527,"GOTerms"
"134","B10_int","1","black","GO:0033559","unsaturated fatty acid metabolic process","BP",8,1,0.0473871955724527,"GOTerms"
"135","B10_int","1","black","GO:0010647","positive regulation of cell communication","BP",136,3,0.0492979847938574,"GOTerms"
"136","B10_int","2","blue","GO:0006412","translation","BP",87,16,5.8721654513872e-12,"GOTerms"
"137","B10_int","2","blue","GO:0043043","peptide biosynthetic process","BP",88,16,7.05734213491729e-12,"GOTerms"
"138","B10_int","2","blue","GO:0043604","amide biosynthetic process","BP",101,16,6.26411345529074e-11,"GOTerms"
"139","B10_int","2","blue","GO:0006518","peptide metabolic process","BP",107,16,1.53528841748406e-10,"GOTerms"
"140","B10_int","2","blue","GO:0043603","cellular amide metabolic process","BP",125,17,1.88430726724703e-10,"GOTerms"
"141","B10_int","2","blue","GO:0010467","gene expression","BP",616,36,1.40641410532861e-09,"GOTerms"
"142","B10_int","2","blue","GO:0034645","cellular macromolecule biosynthetic process","BP",554,33,4.58476964424643e-09,"GOTerms"
"143","B10_int","2","blue","GO:0009059","macromolecule biosynthetic process","BP",556,33,5.01316825914348e-09,"GOTerms"
"144","B10_int","2","blue","GO:0044271","cellular nitrogen compound biosynthetic process","BP",538,32,8.32909299176113e-09,"GOTerms"
"145","B10_int","2","blue","GO:0034641","cellular nitrogen compound metabolic process","BP",732,37,3.93808538771817e-08,"GOTerms"
"146","B10_int","2","blue","GO:0032502","developmental process","BP",671,34,1.41023871746624e-07,"GOTerms"
"147","B10_int","2","blue","GO:0048856","anatomical structure development","BP",639,33,1.41558745767917e-07,"GOTerms"
"148","B10_int","2","blue","GO:0009987","cellular process","BP",1854,66,1.45632287493469e-07,"GOTerms"
"149","B10_int","2","blue","GO:1901576","organic substance biosynthetic process","BP",676,34,1.68108215188612e-07,"GOTerms"
"150","B10_int","2","blue","GO:0009058","biosynthetic process","BP",685,34,2.29492970825562e-07,"GOTerms"
"151","B10_int","2","blue","GO:0006414","translational elongation","BP",9,5,2.74024927341172e-07,"GOTerms"
"152","B10_int","2","blue","GO:0044249","cellular biosynthetic process","BP",660,33,2.98053414526665e-07,"GOTerms"
"153","B10_int","2","blue","GO:0008150","biological_process","BP",1940,67,3.55811920302674e-07,"GOTerms"
"154","B10_int","2","blue","GO:0042273","ribosomal large subunit biogenesis","BP",10,5,5.39602216050484e-07,"GOTerms"
"155","B10_int","2","blue","GO:0007275","multicellular organism development","BP",591,30,7.91974967451819e-07,"GOTerms"
"156","B10_int","2","blue","GO:0043170","macromolecule metabolic process","BP",1025,42,1.40016980208639e-06,"GOTerms"
"157","B10_int","2","blue","GO:0048518","positive regulation of biological process","BP",544,28,1.44917118408767e-06,"GOTerms"
"158","B10_int","2","blue","GO:1901566","organonitrogen compound biosynthetic process","BP",209,16,2.23819546497043e-06,"GOTerms"
"159","B10_int","2","blue","GO:0048731","system development","BP",496,26,2.52635378186907e-06,"GOTerms"
"160","B10_int","2","blue","GO:0048869","cellular developmental process","BP",437,24,2.82788329387213e-06,"GOTerms"
"161","B10_int","2","blue","GO:0042254","ribosome biogenesis","BP",35,7,3.38299198737318e-06,"GOTerms"
"162","B10_int","2","blue","GO:0044260","cellular macromolecule metabolic process","BP",916,38,3.58917337722102e-06,"GOTerms"
"163","B10_int","2","blue","GO:0044238","primary metabolic process","BP",1139,44,3.6077502763771e-06,"GOTerms"
"164","B10_int","2","blue","GO:0006807","nitrogen compound metabolic process","BP",1104,42,9.10328291554684e-06,"GOTerms"
"165","B10_int","2","blue","GO:0044267","cellular protein metabolic process","BP",537,26,1.05282163409969e-05,"GOTerms"
"166","B10_int","2","blue","GO:0048522","positive regulation of cellular process","BP",507,25,1.15172172368831e-05,"GOTerms"
"167","B10_int","2","blue","GO:0071704","organic substance metabolic process","BP",1200,44,1.36349123891014e-05,"GOTerms"
"168","B10_int","2","blue","GO:0022613","ribonucleoprotein complex biogenesis","BP",59,8,1.40098145881298e-05,"GOTerms"
"169","B10_int","2","blue","GO:0048709","oligodendrocyte differentiation","BP",9,4,1.45480042638743e-05,"GOTerms"
"170","B10_int","2","blue","GO:0009653","anatomical structure morphogenesis","BP",302,18,1.7521156541783e-05,"GOTerms"
"171","B10_int","2","blue","GO:0071840","cellular component organization or biogenesis","BP",694,30,1.95382555499717e-05,"GOTerms"
"172","B10_int","2","blue","GO:0032501","multicellular organismal process","BP",730,31,1.98677626087486e-05,"GOTerms"
"173","B10_int","2","blue","GO:0030154","cell differentiation","BP",428,22,2.10027643002285e-05,"GOTerms"
"174","B10_int","2","blue","GO:0050793","regulation of developmental process","BP",223,15,2.21002128569037e-05,"GOTerms"
"175","B10_int","2","blue","GO:0022610","biological adhesion","BP",149,12,2.55953182949635e-05,"GOTerms"
"176","B10_int","2","blue","GO:0007155","cell adhesion","BP",149,12,2.55953182949635e-05,"GOTerms"
"177","B10_int","2","blue","GO:0000470","maturation of LSU-rRNA","BP",4,3,2.62839653233794e-05,"GOTerms"
"178","B10_int","2","blue","GO:0008152","metabolic process","BP",1252,44,3.84660396360756e-05,"GOTerms"
"179","B10_int","2","blue","GO:0019538","protein metabolic process","BP",582,26,4.19771380590757e-05,"GOTerms"
"180","B10_int","2","blue","GO:0007399","nervous system development","BP",265,16,4.42565765696357e-05,"GOTerms"
"181","B10_int","2","blue","GO:0008366","axon ensheathment","BP",12,4,5.46480239127572e-05,"GOTerms"
"182","B10_int","2","blue","GO:0007272","ensheathment of neurons","BP",12,4,5.46480239127572e-05,"GOTerms"
"183","B10_int","2","blue","GO:0042552","myelination","BP",12,4,5.46480239127572e-05,"GOTerms"
"184","B10_int","2","blue","GO:0098609","cell-cell adhesion","BP",71,8,5.5303334614921e-05,"GOTerms"
"185","B10_int","2","blue","GO:0022008","neurogenesis","BP",187,13,5.57505169463687e-05,"GOTerms"
"186","B10_int","2","blue","GO:0044237","cellular metabolic process","BP",1195,42,5.93166945781764e-05,"GOTerms"
"187","B10_int","2","blue","GO:0044085","cellular component biogenesis","BP",334,18,6.59025701585551e-05,"GOTerms"
"188","B10_int","2","blue","GO:0048468","cell development","BP",220,14,7.59190594837107e-05,"GOTerms"
"189","B10_int","2","blue","GO:0042327","positive regulation of phosphorylation","BP",97,9,8.93504341777327e-05,"GOTerms"
"190","B10_int","2","blue","GO:0001934","positive regulation of protein phosphorylation","BP",80,8,0.000130206487553733,"GOTerms"
"191","B10_int","2","blue","GO:0006468","protein phosphorylation","BP",178,12,0.000144007968612653,"GOTerms"
"192","B10_int","2","blue","GO:0045937","positive regulation of phosphate metabolic process","BP",105,9,0.00016483412328899,"GOTerms"
"193","B10_int","2","blue","GO:0010562","positive regulation of phosphorus metabolic process","BP",105,9,0.00016483412328899,"GOTerms"
"194","B10_int","2","blue","GO:0016070","RNA metabolic process","BP",493,22,0.000169557026426976,"GOTerms"
"195","B10_int","2","blue","GO:0051716","cellular response to stimulus","BP",671,27,0.0001724474667775,"GOTerms"
"196","B10_int","2","blue","GO:0033674","positive regulation of kinase activity","BP",63,7,0.000177490065397778,"GOTerms"
"197","B10_int","2","blue","GO:0048699","generation of neurons","BP",184,12,0.000196500671064032,"GOTerms"
"198","B10_int","2","blue","GO:0050794","regulation of cellular process","BP",1067,37,0.000225972584230382,"GOTerms"
"199","B10_int","2","blue","GO:0045860","positive regulation of protein kinase activity","BP",47,6,0.000240358602173118,"GOTerms"
"200","B10_int","2","blue","GO:0007417","central nervous system development","BP",89,8,0.000274199555578725,"GOTerms"
"201","B10_int","2","blue","GO:0050789","regulation of biological process","BP",1118,38,0.00027531231239228,"GOTerms"
"202","B10_int","2","blue","GO:0120036","plasma membrane bounded cell projection organization","BP",139,10,0.000305654167667778,"GOTerms"
"203","B10_int","2","blue","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","BP",32,5,0.000306868945801644,"GOTerms"
"204","B10_int","2","blue","GO:0006364","rRNA processing","BP",18,4,0.000308934994248699,"GOTerms"
"205","B10_int","2","blue","GO:0051347","positive regulation of transferase activity","BP",69,7,0.000314423062834953,"GOTerms"
"206","B10_int","2","blue","GO:1901564","organonitrogen compound metabolic process","BP",701,27,0.000346636547754203,"GOTerms"
"207","B10_int","2","blue","GO:0030182","neuron differentiation","BP",168,11,0.000349263844602071,"GOTerms"
"208","B10_int","2","blue","GO:0032291","axon ensheathment in central nervous system","BP",2,2,0.000355518832661642,"GOTerms"
"209","B10_int","2","blue","GO:0022010","central nervous system myelination","BP",2,2,0.000355518832661642,"GOTerms"
"210","B10_int","2","blue","GO:0014003","oligodendrocyte development","BP",2,2,0.000355518832661642,"GOTerms"
"211","B10_int","2","blue","GO:0032071","regulation of endodeoxyribonuclease activity","BP",2,2,0.000355518832661642,"GOTerms"
"212","B10_int","2","blue","GO:0030030","cell projection organization","BP",143,10,0.00038372604566992,"GOTerms"
"213","B10_int","2","blue","GO:0042325","regulation of phosphorylation","BP",143,10,0.00038372604566992,"GOTerms"
"214","B10_int","2","blue","GO:0016072","rRNA metabolic process","BP",19,4,0.000385542675777114,"GOTerms"
"215","B10_int","2","blue","GO:0001932","regulation of protein phosphorylation","BP",118,9,0.000396629519297753,"GOTerms"
"216","B10_int","2","blue","GO:0016043","cellular component organization","BP",673,26,0.000427578446834342,"GOTerms"
"217","B10_int","2","blue","GO:0072359","circulatory system development","BP",120,9,0.000448985166038712,"GOTerms"
"218","B10_int","2","blue","GO:2000112","regulation of cellular macromolecule biosynthetic process","BP",425,19,0.000462516748132817,"GOTerms"
"219","B10_int","2","blue","GO:0010556","regulation of macromolecule biosynthetic process","BP",427,19,0.000489891698791078,"GOTerms"
"220","B10_int","2","blue","GO:0050896","response to stimulus","BP",796,29,0.000519118040101409,"GOTerms"
"221","B10_int","2","blue","GO:0043549","regulation of kinase activity","BP",98,8,0.000528223661757139,"GOTerms"
"222","B10_int","2","blue","GO:0120031","plasma membrane bounded cell projection assembly","BP",36,5,0.000540212969240439,"GOTerms"
"223","B10_int","2","blue","GO:0031401","positive regulation of protein modification process","BP",99,8,0.000565452991872819,"GOTerms"
"224","B10_int","2","blue","GO:0010001","glial cell differentiation","BP",21,4,0.000577897294479423,"GOTerms"
"225","B10_int","2","blue","GO:0030031","cell projection assembly","BP",37,5,0.000615100377679809,"GOTerms"
"226","B10_int","2","blue","GO:0090304","nucleic acid metabolic process","BP",581,23,0.000662729395145922,"GOTerms"
"227","B10_int","2","blue","GO:0045859","regulation of protein kinase activity","BP",78,7,0.000666832847048802,"GOTerms"
"228","B10_int","2","blue","GO:0009966","regulation of signal transduction","BP",242,13,0.000702908007754098,"GOTerms"
"229","B10_int","2","blue","GO:0031326","regulation of cellular biosynthetic process","BP",440,19,0.000704546067444591,"GOTerms"
"230","B10_int","2","blue","GO:0065007","biological regulation","BP",1215,39,0.000704767538910163,"GOTerms"
"231","B10_int","2","blue","GO:0048666","neuron development","BP",128,9,0.000718474490350274,"GOTerms"
"232","B10_int","2","blue","GO:0032270","positive regulation of cellular protein metabolic process","BP",129,9,0.000759885870670999,"GOTerms"
"233","B10_int","2","blue","GO:0009889","regulation of biosynthetic process","BP",443,19,0.000764270997661746,"GOTerms"
"234","B10_int","2","blue","GO:0002181","cytoplasmic translation","BP",23,4,0.000830020311315251,"GOTerms"
"235","B10_int","2","blue","GO:0071902","positive regulation of protein serine/threonine kinase activity","BP",23,4,0.000830020311315251,"GOTerms"
"236","B10_int","2","blue","GO:0048583","regulation of response to stimulus","BP",311,15,0.000853929702520938,"GOTerms"
"237","B10_int","2","blue","GO:0051338","regulation of transferase activity","BP",107,8,0.00094617814958706,"GOTerms"
"238","B10_int","2","blue","GO:0071900","regulation of protein serine/threonine kinase activity","BP",41,5,0.000994537760546052,"GOTerms"
"239","B10_int","2","blue","GO:0010468","regulation of gene expression","BP",490,20,0.0010276450065535,"GOTerms"
"240","B10_int","2","blue","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",3,2,0.00105322786064391,"GOTerms"
"241","B10_int","2","blue","GO:0090009","primitive streak formation","BP",3,2,0.00105322786064391,"GOTerms"
"242","B10_int","2","blue","GO:0032070","regulation of deoxyribonuclease activity","BP",3,2,0.00105322786064391,"GOTerms"
"243","B10_int","2","blue","GO:0032069","regulation of nuclease activity","BP",3,2,0.00105322786064391,"GOTerms"
"244","B10_int","2","blue","GO:0051247","positive regulation of protein metabolic process","BP",136,9,0.00110750088469019,"GOTerms"
"245","B10_int","2","blue","GO:0042063","gliogenesis","BP",25,4,0.00115111914978201,"GOTerms"
"246","B10_int","2","blue","GO:1901360","organic cyclic compound metabolic process","BP",682,25,0.00116830813992932,"GOTerms"
"247","B10_int","2","blue","GO:0019220","regulation of phosphate metabolic process","BP",165,10,0.00116901925871181,"GOTerms"
"248","B10_int","2","blue","GO:0051174","regulation of phosphorus metabolic process","BP",165,10,0.00116901925871181,"GOTerms"
"249","B10_int","2","blue","GO:0051253","negative regulation of RNA metabolic process","BP",139,9,0.00129132224585633,"GOTerms"
