"","sample","module_number","module","ID","Pathway","N","DE","P.DE","type"
"51","B10_int","7","greenyellow","path:gga04512","ECM-receptor interaction",70,2,0.0323649065349071,"KEGGPath"
"52","B10_int","7","greenyellow","path:gga04620","Toll-like receptor signaling pathway",72,2,0.0340807493577109,"KEGGPath"
"53","B10_int","7","greenyellow","path:gga00430","Taurine and hypotaurine metabolism",12,1,0.047347308308422,"KEGGPath"
"54","B10_int","8","grey60","path:gga04261","Adrenergic signaling in cardiomyocytes",125,4,0.000164267907763641,"KEGGPath"
"55","B10_int","8","grey60","path:gga04514","Cell adhesion molecules",105,3,0.00163021356183696,"KEGGPath"
"56","B10_int","8","grey60","path:gga04310","Wnt signaling pathway",137,3,0.00347418887792024,"KEGGPath"
"57","B10_int","8","grey60","path:gga04260","Cardiac muscle contraction",61,2,0.00817882215243023,"KEGGPath"
"58","B10_int","8","grey60","path:gga00562","Inositol phosphate metabolism",68,2,0.0100828722653574,"KEGGPath"
"59","B10_int","8","grey60","path:gga04520","Adherens junction",69,2,0.0103694936564941,"KEGGPath"
"60","B10_int","8","grey60","path:gga04020","Calcium signaling pathway",204,3,0.0104480599823574,"KEGGPath"
"61","B10_int","8","grey60","path:gga04912","GnRH signaling pathway",77,2,0.0127908250461656,"KEGGPath"
"62","B10_int","8","grey60","path:gga04540","Gap junction",79,2,0.0134312170130099,"KEGGPath"
"63","B10_int","8","grey60","path:gga04916","Melanogenesis",87,2,0.0161291745840685,"KEGGPath"
"64","B10_int","8","grey60","path:gga04070","Phosphatidylinositol signaling system",87,2,0.0161291745840685,"KEGGPath"
"65","B10_int","8","grey60","path:gga04010","MAPK signaling pathway",241,3,0.0163349079930311,"KEGGPath"
"66","B10_int","8","grey60","path:gga04270","Vascular smooth muscle contraction",111,2,0.025464892467774,"KEGGPath"
"67","B10_int","8","grey60","path:gga04371","Apelin signaling pathway",114,2,0.0267557159260435,"KEGGPath"
"68","B10_int","8","grey60","path:gga04621","NOD-like receptor signaling pathway",115,2,0.0271918336679982,"KEGGPath"
"69","B10_int","8","grey60","path:gga00604","Glycosphingolipid biosynthesis - ganglio series",13,1,0.0287463468745052,"KEGGPath"
"70","B10_int","9","lightcyan","path:gga04142","Lysosome",116,3,0.00367162577274878,"KEGGPath"
"71","B10_int","9","lightcyan","path:gga04145","Phagosome",125,2,0.0442995735684944,"KEGGPath"
"72","B10_int","10","lightgreen","path:gga04010","MAPK signaling pathway",241,4,0.00170557513945475,"KEGGPath"
"73","B10_int","10","lightgreen","path:gga04510","Focal adhesion",176,3,0.00634318260512065,"KEGGPath"
"74","B10_int","10","lightgreen","path:gga04261","Adrenergic signaling in cardiomyocytes",125,2,0.0297748036219017,"KEGGPath"
"75","B10_int","10","lightgreen","path:gga04145","Phagosome",125,2,0.0297748036219017,"KEGGPath"
"76","B10_int","10","lightgreen","path:gga04530","Tight junction",136,2,0.0347584493983948,"KEGGPath"
"77","B10_int","11","lightyellow","path:gga04080","Neuroactive ligand-receptor interaction",305,5,0.000449346879271816,"KEGGPath"
"78","B10_int","11","lightyellow","path:gga04012","ErbB signaling pathway",76,2,0.0116866877411512,"KEGGPath"
"79","B10_int","11","lightyellow","path:gga00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,1,0.029907873031169,"KEGGPath"
"80","B10_int","12","magenta","path:gga04260","Cardiac muscle contraction",61,4,0.000411261996115173,"KEGGPath"
"81","B10_int","12","magenta","path:gga04261","Adrenergic signaling in cardiomyocytes",125,5,0.000755270084241924,"KEGGPath"
"82","B10_int","12","magenta","path:gga04020","Calcium signaling pathway",204,6,0.00112071278046076,"KEGGPath"
"83","B10_int","12","magenta","path:gga04371","Apelin signaling pathway",114,4,0.00418162414997889,"KEGGPath"
"84","B10_int","12","magenta","path:gga04540","Gap junction",79,3,0.0105693979550741,"KEGGPath"
"85","B10_int","12","magenta","path:gga04145","Phagosome",125,3,0.0352381142061385,"KEGGPath"
"86","B10_int","12","magenta","path:gga05132","Salmonella infection",221,4,0.038373501701166,"KEGGPath"
"87","B10_int","13","midnightblue",NA,"Cell adhesion molecules",105,2,0.0427855998868435,NA
"88","B10_int","14","pink","path:gga04145","Phagosome",125,4,0.00662657251954059,"KEGGPath"
"89","B10_int","14","pink","path:gga05132","Salmonella infection",221,5,0.0103303771021168,"KEGGPath"
"90","B10_int","14","pink","path:gga03267","Virion - Adenovirus",3,1,0.0178156267129321,"KEGGPath"
"91","B10_int","14","pink","path:gga03265","Virion - Lyssavirus",4,1,0.0236842315275532,"KEGGPath"
"92","B10_int","15","purple","path:gga01232","Nucleotide metabolism",78,3,0.0075590332302414,"KEGGPath"
"93","B10_int","15","purple","path:gga00230","Purine metabolism",116,3,0.0219356189833265,"KEGGPath"
"94","B10_int","15","purple","path:gga01240","Biosynthesis of cofactors",117,3,0.0224315505750733,"KEGGPath"
"95","B10_int","15","purple","path:gga00240","Pyrimidine metabolism",55,2,0.0326027307633186,"KEGGPath"
"96","B10_int","16","red",NA,"Virion - Herpesvirus",4,1,0.0347856708592832,NA
"97","B10_int","17","royalblue","path:gga00603","Glycosphingolipid biosynthesis - globo and isoglobo series",12,1,0.0133638231273578,"KEGGPath"
"98","B10_int","17","royalblue","path:gga00604","Glycosphingolipid biosynthesis - ganglio series",13,1,0.0144699174960493,"KEGGPath"
"99","B10_int","17","royalblue","path:gga00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,1,0.0155748544298678,"KEGGPath"
"100","B10_int","17","royalblue","path:gga00512","Mucin type O-glycan biosynthesis",29,1,0.0320107786734246,"KEGGPath"
"101","B10_int","17","royalblue","path:gga02010","ABC transporters",37,1,0.0406715260451923,"KEGGPath"
"102","B10_int","17","royalblue","path:gga04080","Neuroactive ligand-receptor interaction",305,2,0.0446538783201972,"KEGGPath"
"103","B10_int","18","salmon","path:gga00430","Taurine and hypotaurine metabolism",12,2,0.000845588494133738,"KEGGPath"
"104","B10_int","18","salmon","path:gga00650","Butanoate metabolism",21,2,0.00263455870896527,"KEGGPath"
"105","B10_int","18","salmon","path:gga00410","beta-Alanine metabolism",25,2,0.00372872172545955,"KEGGPath"
"106","B10_int","18","salmon","path:gga00250","Alanine, aspartate and glutamate metabolism",32,2,0.00606516498123763,"KEGGPath"
"107","B10_int","18","salmon","path:gga04370","VEGF signaling pathway",55,2,0.0172154243914095,"KEGGPath"
"108","B10_int","18","salmon","path:gga04137","Mitophagy - animal",62,2,0.021570369483214,"KEGGPath"
"109","B10_int","18","salmon","path:gga04912","GnRH signaling pathway",77,2,0.0322424732735696,"KEGGPath"
"110","B10_int","18","salmon","path:gga04625","C-type lectin receptor signaling pathway",83,2,0.0369851455390902,"KEGGPath"
"111","B10_int","18","salmon","path:gga04020","Calcium signaling pathway",204,3,0.0384552674119502,"KEGGPath"
"112","B10_int","18","salmon","path:gga04114","Oocyte meiosis",96,2,0.0481046229144313,"KEGGPath"
"113","B10_int","19","tan",NA,"Arachidonic acid metabolism",42,2,0.0102866524792178,NA
"114","B10_int","20","turquoise","path:gga04512","ECM-receptor interaction",70,21,7.1614637211631e-10,"KEGGPath"
"115","B10_int","20","turquoise","path:gga00100","Steroid biosynthesis",16,8,1.73410162451051e-06,"KEGGPath"
"116","B10_int","20","turquoise","path:gga04510","Focal adhesion",176,27,1.09810082746725e-05,"KEGGPath"
"117","B10_int","20","turquoise","path:gga04810","Regulation of actin cytoskeleton",189,26,0.0001061278198672,"KEGGPath"
"118","B10_int","20","turquoise","path:gga04310","Wnt signaling pathway",137,20,0.000291889036118541,"KEGGPath"
"119","B10_int","20","turquoise","path:gga00250","Alanine, aspartate and glutamate metabolism",32,8,0.000583142966287581,"KEGGPath"
"120","B10_int","20","turquoise","path:gga04350","TGF-beta signaling pathway",86,14,0.000771289832980937,"KEGGPath"
"121","B10_int","20","turquoise","path:gga00480","Glutathione metabolism",47,9,0.00208936898665642,"KEGGPath"
"122","B10_int","20","turquoise","path:gga00220","Arginine biosynthesis",17,5,0.00298831982004708,"KEGGPath"
"123","B10_int","20","turquoise","path:gga03320","PPAR signaling pathway",59,10,0.00311551785252042,"KEGGPath"
"124","B10_int","20","turquoise","path:gga04330","Notch signaling pathway",52,9,0.00427849128873926,"KEGGPath"
"125","B10_int","20","turquoise","path:gga01100","Metabolic pathways",1272,101,0.00506790659578716,"KEGGPath"
"126","B10_int","20","turquoise","path:gga01040","Biosynthesis of unsaturated fatty acids",27,6,0.00535709125952918,"KEGGPath"
"127","B10_int","20","turquoise","path:gga00982","Drug metabolism - cytochrome P450",29,6,0.00773623477011137,"KEGGPath"
"128","B10_int","20","turquoise","path:gga00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",21,5,0.00799569223101151,"KEGGPath"
"129","B10_int","20","turquoise","path:gga01230","Biosynthesis of amino acids",58,9,0.00890080078767127,"KEGGPath"
"130","B10_int","20","turquoise","path:gga04060","Cytokine-cytokine receptor interaction",158,18,0.00904225381143335,"KEGGPath"
"131","B10_int","20","turquoise","path:gga04520","Adherens junction",69,10,0.00967299417527681,"KEGGPath"
"132","B10_int","20","turquoise","path:gga00980","Metabolism of xenobiotics by cytochrome P450",31,6,0.01079421357685,"KEGGPath"
"133","B10_int","20","turquoise","path:gga01212","Fatty acid metabolism",50,8,0.011123990223275,"KEGGPath"
"134","B10_int","20","turquoise","path:gga04514","Cell adhesion molecules",105,13,0.0128313169231112,"KEGGPath"
"135","B10_int","20","turquoise","path:gga00051","Fructose and mannose metabolism",34,6,0.0168496866968799,"KEGGPath"
"136","B10_int","20","turquoise","path:gga00900","Terpenoid backbone biosynthesis",19,4,0.0269060377998513,"KEGGPath"
"137","B10_int","20","turquoise","path:gga00010","Glycolysis / Gluconeogenesis",48,7,0.027363457999911,"KEGGPath"
"138","B10_int","20","turquoise","path:gga04340","Hedgehog signaling pathway",48,7,0.027363457999911,"KEGGPath"
"139","B10_int","20","turquoise","path:gga00600","Sphingolipid metabolism",48,7,0.027363457999911,"KEGGPath"
"140","B10_int","20","turquoise","path:gga00524","Neomycin, kanamycin and gentamicin biosynthesis",5,2,0.0338394552446934,"KEGGPath"
"141","B10_int","21","yellow","path:gga04080","Neuroactive ligand-receptor interaction",305,26,7.03617507543764e-14,"KEGGPath"
"142","B10_int","21","yellow","path:gga04020","Calcium signaling pathway",204,8,0.00699015586793277,"KEGGPath"
"143","B10_int","21","yellow","path:gga00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",21,2,0.0328945653779296,"KEGGPath"
"144","B10_int","21","yellow","path:gga04810","Regulation of actin cytoskeleton",189,6,0.0453418219040945,"KEGGPath"
"145","B10_int","21","yellow","path:gga04010","MAPK signaling pathway",241,7,0.0476987046561004,"KEGGPath"
"146","Devel_int","1","black","path:gga04110","Cell cycle",115,7,0.00130166262257471,"KEGGPath"
"147","Devel_int","1","black","path:gga04512","ECM-receptor interaction",70,5,0.00322658990270036,"KEGGPath"
"148","Devel_int","1","black","path:gga04530","Tight junction",138,6,0.0142925345649955,"KEGGPath"
"149","Devel_int","1","black","path:gga04371","Apelin signaling pathway",114,5,0.0237516233872952,"KEGGPath"
"150","Devel_int","1","black","path:gga00220","Arginine biosynthesis",17,2,0.0239837080400441,"KEGGPath"
"151","Devel_int","1","black","path:gga01232","Nucleotide metabolism",79,4,0.0264463192018158,"KEGGPath"
"152","Devel_int","1","black","path:gga00240","Pyrimidine metabolism",56,3,0.0458196023908417,"KEGGPath"
"153","Devel_int","2","blue","path:gga04510","Focal adhesion",175,23,9.73368060555179e-13,"KEGGPath"
"154","Devel_int","2","blue","path:gga04512","ECM-receptor interaction",70,15,7.3274692491876e-12,"KEGGPath"
"155","Devel_int","2","blue","path:gga04270","Vascular smooth muscle contraction",112,11,1.67439442543815e-05,"KEGGPath"
"156","Devel_int","2","blue","path:gga04810","Regulation of actin cytoskeleton",192,14,3.72432887768507e-05,"KEGGPath"
"157","Devel_int","2","blue","path:gga04010","MAPK signaling pathway",243,14,0.000446156498872136,"KEGGPath"
"158","Devel_int","2","blue","path:gga04020","Calcium signaling pathway",209,11,0.00362403933584187,"KEGGPath"
"159","Devel_int","2","blue","path:gga04060","Cytokine-cytokine receptor interaction",164,9,0.00628036257453024,"KEGGPath"
"160","Devel_int","2","blue","path:gga04520","Adherens junction",69,5,0.0129447690918408,"KEGGPath"
"161","Devel_int","2","blue","path:gga04672","Intestinal immune network for IgA production",30,3,0.022369443730378,"KEGGPath"
"162","Devel_int","2","blue","path:gga00360","Phenylalanine metabolism",12,2,0.0236550862790114,"KEGGPath"
"163","Devel_int","2","blue","path:gga04514","Cell adhesion molecules",110,6,0.0244777468966487,"KEGGPath"
"164","Devel_int","3","brown","path:gga04020","Calcium signaling pathway",209,17,5.95585627809126e-07,"KEGGPath"
"165","Devel_int","3","brown","path:gga04080","Neuroactive ligand-receptor interaction",309,18,3.05447031647585e-05,"KEGGPath"
"166","Devel_int","3","brown","path:gga04514","Cell adhesion molecules",110,9,0.00026944209386291,"KEGGPath"
"167","Devel_int","3","brown","path:gga04261","Adrenergic signaling in cardiomyocytes",125,7,0.0105147861741517,"KEGGPath"
"168","Devel_int","3","brown","path:gga00512","Mucin type O-glycan biosynthesis",29,3,0.0177992320480708,"KEGGPath"
"169","Devel_int","3","brown","path:gga04310","Wnt signaling pathway",139,7,0.0179839458106737,"KEGGPath"
"170","Devel_int","3","brown","path:gga04010","MAPK signaling pathway",243,10,0.0193865184259937,"KEGGPath"
"171","Devel_int","3","brown","path:gga00603","Glycosphingolipid biosynthesis - globo and isoglobo series",12,2,0.021442691050625,"KEGGPath"
"172","Devel_int","3","brown","path:gga04371","Apelin signaling pathway",114,6,0.0228031252007539,"KEGGPath"
"173","Devel_int","3","brown","path:gga00604","Glycosphingolipid biosynthesis - ganglio series",13,2,0.0250237745457477,"KEGGPath"
"174","Devel_int","3","brown","path:gga04260","Cardiac muscle contraction",61,4,0.0297408074600751,"KEGGPath"
"175","Devel_int","4","cyan","path:gga04210","Apoptosis",118,4,0.000324540815095276,"KEGGPath"
"176","Devel_int","4","cyan","path:gga04115","p53 signaling pathway",63,3,0.000725682394151512,"KEGGPath"
"177","Devel_int","4","cyan","path:gga04068","FoxO signaling pathway",118,3,0.00438576710479436,"KEGGPath"
"178","Devel_int","4","cyan","path:gga04218","Cellular senescence",135,3,0.00637649498913831,"KEGGPath"
"179","Devel_int","4","cyan","path:gga04137","Mitophagy - animal",62,2,0.0131006183031494,"KEGGPath"
"180","Devel_int","4","cyan","path:gga04010","MAPK signaling pathway",243,3,0.0305371032756192,"KEGGPath"
"181","Devel_int","4","cyan","path:gga04110","Cell cycle",115,2,0.0413856082295522,"KEGGPath"
"182","Devel_int","4","cyan","path:gga04140","Autophagy - animal",126,2,0.0487761017395224,"KEGGPath"
"183","Devel_int","5","darkgreen","path:gga04540","Gap junction",80,2,0.00393762502340027,"KEGGPath"
"184","Devel_int","5","darkgreen","path:gga04371","Apelin signaling pathway",114,2,0.00784017268152029,"KEGGPath"
"185","Devel_int","5","darkgreen","path:gga00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,1,0.0164611387604273,"KEGGPath"
"186","Devel_int","5","darkgreen","path:gga04020","Calcium signaling pathway",209,2,0.0247848230153469,"KEGGPath"
"187","Devel_int","6","darkred","path:gga04080","Neuroactive ligand-receptor interaction",309,4,0.00168531515606928,"KEGGPath"
"188","Devel_int","6","darkred","path:gga00790","Folate biosynthesis",26,1,0.0433735569244947,"KEGGPath"
"189","Devel_int","7","green","path:gga04512","ECM-receptor interaction",70,6,0.000630126294856276,"KEGGPath"
"190","Devel_int","7","green","path:gga00524","Neomycin, kanamycin and gentamicin biosynthesis",5,2,0.00218069685689905,"KEGGPath"
"191","Devel_int","7","green","path:gga04310","Wnt signaling pathway",139,7,0.00501479706568967,"KEGGPath"
"192","Devel_int","7","green","path:gga04540","Gap junction",80,5,0.00705007913582225,"KEGGPath"
"193","Devel_int","7","green","path:gga00760","Nicotinate and nicotinamide metabolism",33,3,0.0130934233866674,"KEGGPath"
"194","Devel_int","7","green","path:gga01250","Biosynthesis of nucleotide sugars",35,3,0.015367486496872,"KEGGPath"
"195","Devel_int","7","green","path:gga04510","Focal adhesion",175,7,0.0165933738252136,"KEGGPath"
"196","Devel_int","7","green","path:gga00330","Arginine and proline metabolism",40,3,0.0219685059849249,"KEGGPath"
"197","Devel_int","7","green","path:gga00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",17,2,0.0263459719981442,"KEGGPath"
"198","Devel_int","7","green","path:gga00520","Amino sugar and nucleotide sugar metabolism",46,3,0.031627070926056,"KEGGPath"
"199","Devel_int","7","green","path:gga04060","Cytokine-cytokine receptor interaction",164,6,0.0374616101586717,"KEGGPath"
"200","Devel_int","7","green","path:gga03264","Virion - Flavivirus",3,1,0.0444070166024924,"KEGGPath"
"201","Devel_int","8","greenyellow","path:gga00900","Terpenoid backbone biosynthesis",19,2,0.00315942712790313,"KEGGPath"
"202","Devel_int","8","greenyellow","path:gga04060","Cytokine-cytokine receptor interaction",164,4,0.00602163620656841,"KEGGPath"
"203","Devel_int","8","greenyellow","path:gga00561","Glycerolipid metabolism",55,2,0.0247741363315398,"KEGGPath"
"204","Devel_int","9","grey60","path:gga04916","Melanogenesis",88,2,0.0183305969918841,"KEGGPath"
"205","Devel_int","9","grey60","path:gga04514","Cell adhesion molecules",110,2,0.0277984724292072,"KEGGPath"
"206","Devel_int","9","grey60","path:gga04150","mTOR signaling pathway",138,2,0.0420805103033915,"KEGGPath"
"207","Devel_int","9","grey60","path:gga04310","Wnt signaling pathway",139,2,0.0426327832955187,"KEGGPath"
"208","Devel_int","10","lightcyan","path:gga04540","Gap junction",80,2,0.0144081673871524,"KEGGPath"
"209","Devel_int","10","lightcyan","path:gga00920","Sulfur metabolism",8,1,0.0182147040281416,"KEGGPath"
"210","Devel_int","10","lightcyan","path:gga00910","Nitrogen metabolism",14,1,0.0316646025432702,"KEGGPath"
"211","Devel_int","10","lightcyan","path:gga00591","Linoleic acid metabolism",22,1,0.0493206995762221,"KEGGPath"
"212","Devel_int","11","lightgreen","path:gga00830","Retinol metabolism",33,2,0.0014176232050641,"KEGGPath"
"213","Devel_int","11","lightgreen","path:gga04080","Neuroactive ligand-receptor interaction",309,4,0.00168531515606928,"KEGGPath"
"214","Devel_int","11","lightgreen","path:gga00650","Butanoate metabolism",21,1,0.0351747643726574,"KEGGPath"
"215","Devel_int","11","lightgreen","path:gga04020","Calcium signaling pathway",209,2,0.0487055999815836,"KEGGPath"
"216","Devel_int","12","lightyellow","path:gga04110","Cell cycle",115,3,0.000253732360192702,"KEGGPath"
"217","Devel_int","12","lightyellow","path:gga04371","Apelin signaling pathway",114,2,0.00689796044035337,"KEGGPath"
"218","Devel_int","12","lightyellow","path:gga04068","FoxO signaling pathway",118,2,0.00737383921037741,"KEGGPath"
"219","Devel_int","12","lightyellow","path:gga04218","Cellular senescence",135,2,0.00955743604326969,"KEGGPath"
"220","Devel_int","12","lightyellow","path:gga04530","Tight junction",138,2,0.00996940542132438,"KEGGPath"
"221","Devel_int","12","lightyellow","path:gga04310","Wnt signaling pathway",139,2,0.0101084778370975,"KEGGPath"
"222","Devel_int","12","lightyellow","path:gga04216","Ferroptosis",34,1,0.0371108851175153,"KEGGPath"
"223","Devel_int","12","lightyellow","path:gga00330","Arginine and proline metabolism",40,1,0.0435248966007067,"KEGGPath"
"224","Devel_int","13","magenta","path:gga04330","Notch signaling pathway",52,7,1.9359578376133e-07,"KEGGPath"
"225","Devel_int","13","magenta","path:gga04810","Regulation of actin cytoskeleton",192,10,3.640264432715e-06,"KEGGPath"
"226","Devel_int","13","magenta","path:gga04340","Hedgehog signaling pathway",48,5,4.23150424720256e-05,"KEGGPath"
"227","Devel_int","13","magenta","path:gga04510","Focal adhesion",175,8,9.00043768837423e-05,"KEGGPath"
"228","Devel_int","13","magenta","path:gga04512","ECM-receptor interaction",70,5,0.000259500725052655,"KEGGPath"
"229","Devel_int","13","magenta","path:gga04350","TGF-beta signaling pathway",87,4,0.0055164442696531,"KEGGPath"
"230","Devel_int","13","magenta","path:gga04310","Wnt signaling pathway",139,5,0.00553924687965365,"KEGGPath"
"231","Devel_int","13","magenta","path:gga04020","Calcium signaling pathway",209,6,0.00721314623838694,"KEGGPath"
"232","Devel_int","13","magenta","path:gga04514","Cell adhesion molecules",110,4,0.0124158381321738,"KEGGPath"
"233","Devel_int","13","magenta","path:gga04520","Adherens junction",69,3,0.018655753261859,"KEGGPath"
"234","Devel_int","13","magenta","path:gga04145","Phagosome",130,4,0.0216087671121606,"KEGGPath"
"235","Devel_int","13","magenta","path:gga03030","DNA replication",29,2,0.023115645882128,"KEGGPath"
"236","Devel_int","13","magenta","path:gga00565","Ether lipid metabolism",39,2,0.0400357447757493,"KEGGPath"
"237","Devel_int","13","magenta","path:gga03260","Virion - Human immunodeficiency virus",5,1,0.0400588539889326,"KEGGPath"
"238","Devel_int","13","magenta","path:gga04010","MAPK signaling pathway",243,5,0.0483964467591385,"KEGGPath"
"239","Devel_int","14","midnightblue","path:gga04142","Lysosome",116,3,0.00304026828052143,"KEGGPath"
"240","Devel_int","14","midnightblue","path:gga04520","Adherens junction",69,2,0.0129798969418913,"KEGGPath"
"241","Devel_int","14","midnightblue","path:gga00220","Arginine biosynthesis",17,1,0.041956857510588,"KEGGPath"
"242","Devel_int","15","pink","path:gga04110","Cell cycle",115,13,1.13338709635237e-10,"KEGGPath"
"243","Devel_int","15","pink","path:gga04114","Oocyte meiosis",98,10,4.71270463911192e-08,"KEGGPath"
"244","Devel_int","15","pink","path:gga03030","DNA replication",29,4,0.000186558653891627,"KEGGPath"
"245","Devel_int","15","pink","path:gga03430","Mismatch repair",19,3,0.000840996867303892,"KEGGPath"
"246","Devel_int","15","pink","path:gga04914","Progesterone-mediated oocyte maturation",79,5,0.00115329495440424,"KEGGPath"
"247","Devel_int","15","pink","path:gga03460","Fanconi anemia pathway",48,4,0.00131995018214433,"KEGGPath"
"248","Devel_int","15","pink","path:gga03440","Homologous recombination",36,3,0.00547566779773959,"KEGGPath"
"249","Devel_int","15","pink","path:gga00240","Pyrimidine metabolism",56,3,0.0184021855843909,"KEGGPath"
"250","Devel_int","15","pink","path:gga04120","Ubiquitin mediated proteolysis",128,4,0.039406146232697,"KEGGPath"
"251","Devel_int","15","pink","path:gga01232","Nucleotide metabolism",79,3,0.0445494231282424,"KEGGPath"
"252","Devel_int","16","purple","path:gga04010","MAPK signaling pathway",243,6,0.00296122128829287,"KEGGPath"
